UPC,ITEM NO.,MODEL,Brand,
37447728860,831641,OHT,LEATHERMAN,BLACK --  -- MOLLE BROWN
37447733826,831992,JUICE XE6,LEATHERMAN,GRANITE GRAY --  -- PREMIUM SHEATH
37447745720,830724,CHARGE TTI,LEATHERMAN,--  -- PREMIUM SHEATH
37447751301,830725,CHARGE TTI,LEATHERMAN,--  -- STANDARD SHEATH
37447753176,850012N,MUT,LEATHERMAN,--  -- MOLLE BROWN
37447755590,830726,CHARGE TTI,LEATHERMAN,--  -- PREMIUM SHEATH
37447761560,831648,Z-REX,LEATHERMAN,--  -- MOLLE BLACK
37447762659,930380,SHEATH,LEATHERMAN,BROWN -- SIDEKICK -- LEATHER SLEEVE
37447768477,830727,CHARGE TTI,LEATHERMAN,--  -- STANDARD SHEATH
37447768729,850021N,MUT,LEATHERMAN,BLACK --  -- MOLLE BROWN
37447772726,832240,TREAD LINK 7,LEATHERMAN,STAINLESS --  -- 
37447778230,832131,REV,LEATHERMAN,--  -- 
37447778827,831989,JUICE S2,LEATHERMAN,GRANITE GRAY --  -- 
37447782749,830082,WAVE,LEATHERMAN,--  -- PREMIUM SHEATH
37447784644,68010183N,CRUNCH,LEATHERMAN,--  -- LEATHER BOX
37447786556,831937,JUICE CS4,LEATHERMAN,COLUMBIA BLUE --  -- 
37447786747,850122N,MUT,LEATHERMAN,BLACK --  -- MOLLE BLACK
37447790461,930374,ACCESSORY KIT,LEATHERMAN,-- MUT BLACK -- 
37447796982,831986,JUICE CS4,LEATHERMAN,COLUMBIA BLUE --  -- 
37447798016,64340181N,MICRA,LEATHERMAN,BLUE -- ALUMINUM -- 
37447804519,830235,SURGE,LEATHERMAN,-- SQUARE BIT -- STANDARD SHEATH
37447806551,830966,SKELETOOL CX,LEATHERMAN,-- SQUARE BIT -- 
37447810527,831943,JUICE S2,LEATHERMAN,GRANITE GRAY --  -- 
37447815355,831183,SUPER TOOL 300,LEATHERMAN,--  -- LEATHER BOX
37447820175,832119,BY THE NUMBER #4,LEATHERMAN,--  -- 
37447820557,830731,CHARGE TTI,LEATHERMAN,-- METRIC BITS -- PREMIUM SHEATH
37447825286,850131N,MUT EOD,LEATHERMAN,BLACK --  -- MOLLE BLACK
37447831317,830732,CHARGE TTI,LEATHERMAN,-- METRIC BITS -- STANDARD SHEATH
37447833953,830733,CHARGE TTI,LEATHERMAN,-- METRIC BITS -- PREMIUM SHEATH
37447840319,64380183N,MICRA,LEATHERMAN,GRAY -- ALUMINUM -- 
37447840463,831997,JUICE XE6,LEATHERMAN,MOSS GREEN --  -- PREMIUM SHEATH
37447840845,830734,CHARGE TTI,LEATHERMAN,-- METRIC BITS -- STANDARD SHEATH
